,Store,Date,Temperature,Fuel_Price,CPI,Unemployment,Type,Size,Dept,Weekly_Sales,Holiday,Year,Month,Day
0,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,1,46039.49,Super Bowl,2010,2,12
1,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,1,18194.74,Labor Day,2010,9,10
2,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,1,18820.29,Thanksgiving,2010,11,26
3,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,1,19124.58,Christmas,2010,12,31
4,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,1,37887.17,Super Bowl,2011,2,11
5,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,1,17746.68,Labor Day,2011,9,9
6,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,1,20911.25,Thanksgiving,2011,11,25
7,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,1,23350.88,Christmas,2011,12,30
8,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,1,36988.49,Super Bowl,2012,2,10
9,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,1,18322.37,Labor Day,2012,9,7
10,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,2,44682.74,Super Bowl,2010,2,12
11,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,2,45182.5,Labor Day,2010,9,10
12,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,2,45681.98,Thanksgiving,2010,11,26
13,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,2,35819.83,Christmas,2010,12,31
14,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,2,47595.35,Super Bowl,2011,2,11
15,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,2,43315.85,Labor Day,2011,9,9
16,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,2,44259.59,Thanksgiving,2011,11,25
17,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,2,43539.94,Christmas,2011,12,30
18,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,2,50581.06,Super Bowl,2012,2,10
19,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,2,47344.5,Labor Day,2012,9,7
20,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,3,10887.84,Super Bowl,2010,2,12
21,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,3,12134.69,Labor Day,2010,9,10
22,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,3,10706.81,Thanksgiving,2010,11,26
23,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,3,8266.14,Christmas,2010,12,31
24,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,3,11428.25,Super Bowl,2011,2,11
25,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,3,12778.28,Labor Day,2011,9,9
26,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,3,9317.56,Thanksgiving,2011,11,25
27,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,3,8848.44,Christmas,2011,12,30
28,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,3,12388.85,Super Bowl,2012,2,10
29,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,3,18368.51,Labor Day,2012,9,7
30,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,4,35351.21,Super Bowl,2010,2,12
31,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,4,36603.78,Labor Day,2010,9,10
32,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,4,46201.27,Thanksgiving,2010,11,26
33,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,4,36913.8,Christmas,2010,12,31
34,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,4,37373.33,Super Bowl,2011,2,11
35,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,4,35105.96,Labor Day,2011,9,9
36,1,2011-11-25,60.14,3.236,218.4676211,7.866,A,151315,4,46564.14,Thanksgiving,2011,11,25
37,1,2011-12-30,44.55,3.129,219.5359898,7.866,A,151315,4,37371.22,Christmas,2011,12,30
38,1,2012-02-10,48.02,3.409,220.2651783,7.348,A,151315,4,39305.13,Super Bowl,2012,2,10
39,1,2012-09-07,83.96,3.73,222.4390153,6.908,A,151315,4,39549.27,Labor Day,2012,9,7
40,1,2010-02-12,38.51,2.548,211.2421698,8.106,A,151315,5,29620.81,Super Bowl,2010,2,12
41,1,2010-09-10,78.69,2.565,211.4951902,7.787,A,151315,5,17776.56,Labor Day,2010,9,10
42,1,2010-11-26,64.52,2.735,211.7484333,7.838,A,151315,5,70158.86,Thanksgiving,2010,11,26
43,1,2010-12-31,48.43,2.943,211.4049321,7.838,A,151315,5,32280.82,Christmas,2010,12,31
44,1,2011-02-11,36.39,3.022,212.9367046,7.742,A,151315,5,36667.65,Super Bowl,2011,2,11
45,1,2011-09-09,76.0,3.546,215.861056,7.962,A,151315,5,19075.78,Labor Day,2011,9,9
