Store,Dept,Date,Weekly_Sales
1,1,2012-11-02,32372.86
1,1,2012-11-09,19139.19
1,1,2012-11-16,18417.3
1,1,2012-11-23,19592.27
1,1,2012-11-30,23148.59
1,1,2012-12-07,56361.35
1,1,2012-12-14,44570.43
1,1,2012-12-21,62386.49
1,1,2012-12-28,21730.73
1,1,2013-01-04,17052.35
1,1,2013-01-11,17171.38
1,1,2013-01-18,17842.19
1,1,2013-01-25,19043.38
1,1,2013-02-01,23440.24
1,1,2013-02-08,42138.19
1,1,2013-02-15,47719.95
1,1,2013-02-22,19779.89
1,1,2013-03-01,20730.86
1,1,2013-03-08,21862.92
1,1,2013-03-15,21028.54
1,1,2013-03-22,21653.76
1,1,2013-03-29,38401.11
1,1,2013-04-05,50249.57
1,1,2013-04-12,38715.11
1,1,2013-04-19,17511.97
1,1,2013-04-26,16979.11
1,1,2013-05-03,17793.16
1,1,2013-05-10,18975.38
1,1,2013-05-17,17653.59
1,1,2013-05-24,16733.3
1,1,2013-05-31,16969.86
1,1,2013-06-07,16881.59
1,1,2013-06-14,17517.38
1,1,2013-06-21,16976.59
1,1,2013-06-28,16084.62
1,1,2013-07-05,17175.27
1,1,2013-07-12,16135.16
1,1,2013-07-19,16708.59
1,1,2013-07-26,16536.08
1,2,2012-11-02,46726.49
1,2,2012-11-09,44084.08
1,2,2012-11-16,44053.14
1,2,2012-11-23,45326.51
1,2,2012-11-30,45118.51
1,2,2012-12-07,47753.95
1,2,2012-12-14,49852.54
1,2,2012-12-21,61205.81
1,2,2012-12-28,45091.0
1,2,2013-01-04,42840.51
1,2,2013-01-11,43891.46
1,2,2013-01-18,42440.73
1,2,2013-01-25,42372.41
1,2,2013-02-01,52032.51
1,2,2013-02-08,49267.59
1,2,2013-02-15,49051.59
1,2,2013-02-22,48183.89
1,2,2013-03-01,50394.43
1,2,2013-03-08,47674.62
1,2,2013-03-15,46434.14
1,2,2013-03-22,46070.19
1,2,2013-03-29,45927.38
1,2,2013-04-05,46752.76
1,2,2013-04-12,45988.84
1,2,2013-04-19,45742.7
1,2,2013-04-26,45849.46
1,2,2013-05-03,46889.32
1,2,2013-05-10,46256.97
1,2,2013-05-17,44827.59
1,2,2013-05-24,46142.24
1,2,2013-05-31,47968.16
1,2,2013-06-07,47501.81
1,2,2013-06-14,46996.24
1,2,2013-06-21,46829.32
1,2,2013-06-28,46930.05
1,2,2013-07-05,47709.24
1,2,2013-07-12,46631.14
1,2,2013-07-19,45839.43
1,2,2013-07-26,46261.35
1,3,2012-11-02,9385.73
1,3,2012-11-09,9777.86
1,3,2012-11-16,9472.41
1,3,2012-11-23,9781.78
1,3,2012-11-30,12863.0
1,3,2012-12-07,15856.46
1,3,2012-12-14,12441.46
1,3,2012-12-21,14688.57
1,3,2012-12-28,8738.43
1,3,2013-01-04,13605.97
1,3,2013-01-11,13503.62
1,3,2013-01-18,12641.3
1,3,2013-01-25,11213.73
1,3,2013-02-01,12034.22
1,3,2013-02-08,12116.86
1,3,2013-02-15,11204.62
1,3,2013-02-22,10756.46
1,3,2013-03-01,11257.16
1,3,2013-03-08,10920.57
1,3,2013-03-15,9019.14
1,3,2013-03-22,8747.27
1,3,2013-03-29,9312.16
1,3,2013-04-05,9306.95
1,3,2013-04-12,8984.24
1,3,2013-04-19,8690.27
1,3,2013-04-26,9056.84
1,3,2013-05-03,9858.59
1,3,2013-05-10,9419.86
1,3,2013-05-17,8697.65
1,3,2013-05-24,8309.68
1,3,2013-05-31,8280.19
1,3,2013-06-07,7946.76
1,3,2013-06-14,8048.49
1,3,2013-06-21,7315.86
1,3,2013-06-28,7234.14
1,3,2013-07-05,8022.38
1,3,2013-07-12,12550.05
1,3,2013-07-19,18143.89
1,3,2013-07-26,20852.43
1,4,2012-11-02,36410.86
1,4,2012-11-09,36196.59
1,4,2012-11-16,36296.65
1,4,2012-11-23,46182.11
1,4,2012-11-30,44778.84
1,4,2012-12-07,46537.41
1,4,2012-12-14,39532.14
1,4,2012-12-21,47892.62
1,4,2012-12-28,39372.59
1,4,2013-01-04,38630.19
1,4,2013-01-11,37002.89
1,4,2013-01-18,36081.24
1,4,2013-01-25,34318.73
1,4,2013-02-01,38349.05
1,4,2013-02-08,38573.86
1,4,2013-02-15,37495.05
1,4,2013-02-22,36881.97
1,4,2013-03-01,37953.0
1,4,2013-03-08,38147.59
1,4,2013-03-15,37723.43
1,4,2013-03-22,37492.89
1,4,2013-03-29,37876.81
1,4,2013-04-05,37839.89
1,4,2013-04-12,37453.57
1,4,2013-04-19,36814.41
1,4,2013-04-26,36937.7
1,4,2013-05-03,36401.51
1,4,2013-05-10,36314.27
1,4,2013-05-17,35416.81
1,4,2013-05-24,38887.92
1,4,2013-05-31,40115.7
1,4,2013-06-07,39367.22
1,4,2013-06-14,39312.24
1,4,2013-06-21,40270.03
1,4,2013-06-28,39467.35
1,4,2013-07-05,40533.11
1,4,2013-07-12,39694.3
1,4,2013-07-19,37953.11
1,4,2013-07-26,38914.38
1,5,2012-11-02,29455.54
1,5,2012-11-09,28668.19
1,5,2012-11-16,31002.27
1,5,2012-11-23,79949.78
1,5,2012-11-30,57360.08
1,5,2012-12-07,92009.22
1,5,2012-12-14,47500.84
1,5,2012-12-21,92727.78
1,5,2012-12-28,33514.16
1,5,2013-01-04,21578.68
1,5,2013-01-11,20152.41
1,5,2013-01-18,19963.35
1,5,2013-01-25,21364.62
1,5,2013-02-01,30261.08
1,5,2013-02-08,32600.97
1,5,2013-02-15,37146.68
1,5,2013-02-22,33862.22
1,5,2013-03-01,32071.24
1,5,2013-03-08,31665.22
