Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2012-11-02,32372.86,False
1,1,2012-11-09,19139.19,False
1,1,2012-11-16,18417.3,False
1,1,2012-11-23,19592.27,True
1,1,2012-11-30,23148.59,False
1,1,2012-12-07,56361.35,False
1,1,2012-12-14,44570.43,False
1,1,2012-12-21,62386.49,False
1,1,2012-12-28,21730.73,True
1,1,2013-01-04,17052.35,False
1,1,2013-01-11,17171.38,False
1,1,2013-01-18,17842.19,False
1,1,2013-01-25,19043.38,False
1,1,2013-02-01,23440.24,False
1,1,2013-02-08,42138.19,True
1,1,2013-02-15,47719.95,False
1,1,2013-02-22,19779.89,False
1,1,2013-03-01,20730.86,False
1,1,2013-03-08,21862.92,False
1,1,2013-03-15,21028.54,False
1,1,2013-03-22,21653.76,False
1,1,2013-03-29,38401.11,False
1,1,2013-04-05,50249.57,False
1,1,2013-04-12,38715.11,False
1,1,2013-04-19,17511.97,False
1,1,2013-04-26,16979.11,False
1,1,2013-05-03,17793.16,False
1,1,2013-05-10,18975.38,False
1,1,2013-05-17,17653.59,False
1,1,2013-05-24,16733.3,False
1,1,2013-05-31,16969.86,False
1,1,2013-06-07,16881.59,False
1,1,2013-06-14,17517.38,False
1,1,2013-06-21,16976.59,False
1,1,2013-06-28,16084.62,False
1,1,2013-07-05,17175.27,False
1,1,2013-07-12,16135.16,False
1,1,2013-07-19,16708.59,False
1,1,2013-07-26,16536.08,False
1,2,2012-11-02,46726.49,False
1,2,2012-11-09,44084.08,False
1,2,2012-11-16,44053.14,False
1,2,2012-11-23,45326.51,True
1,2,2012-11-30,45118.51,False
1,2,2012-12-07,47753.95,False
1,2,2012-12-14,49852.54,False
1,2,2012-12-21,61205.81,False
1,2,2012-12-28,45091.0,True
1,2,2013-01-04,42840.51,False
1,2,2013-01-11,43891.46,False
1,2,2013-01-18,42440.73,False
1,2,2013-01-25,42372.41,False
1,2,2013-02-01,52032.51,False
1,2,2013-02-08,49267.59,True
1,2,2013-02-15,49051.59,False
1,2,2013-02-22,48183.89,False
1,2,2013-03-01,50394.43,False
