Store_Dept_Date,Dept,Date,Weekly_sales_rf
1,1,2012-11-02,32401.24
1,1,2012-11-09,19898.84
1,1,2012-11-16,20158.08
1,1,2012-11-23,19966.76
1,1,2012-11-30,24485.54
1,1,2012-12-07,56381.68
1,1,2012-12-14,48371.57
1,1,2012-12-21,69361.24
1,1,2012-12-28,23433.54
1,1,2013-01-04,17056.46
1,1,2013-01-11,17016.65
1,1,2013-01-18,17799.22
1,1,2013-01-25,18274.16
1,1,2013-02-01,24692.89
1,1,2013-02-08,40979.38
1,1,2013-02-15,49305.57
1,1,2013-02-22,20555.46
1,1,2013-03-01,20843.89
1,1,2013-03-08,21638.62
1,1,2013-03-15,21345.0
1,1,2013-03-22,21514.43
1,1,2013-03-29,32892.84
1,1,2013-04-05,59338.38
1,1,2013-04-12,34185.89
1,1,2013-04-19,19211.11
1,1,2013-04-26,17419.81
1,1,2013-05-03,18140.22
1,1,2013-05-10,19468.7
1,1,2013-05-17,18542.35
1,1,2013-05-24,16705.86
1,1,2013-05-31,16930.16
1,1,2013-06-07,16603.27
1,1,2013-06-14,17330.76
1,1,2013-06-21,16896.7
1,1,2013-06-28,15928.03
1,1,2013-07-05,17227.51
1,1,2013-07-12,16443.03
1,1,2013-07-19,16722.0
1,1,2013-07-26,16675.41
1,2,2012-11-02,45736.51
1,2,2012-11-09,43948.86
1,2,2012-11-16,43845.41
1,2,2012-11-23,45517.35
1,2,2012-11-30,45283.24
1,2,2012-12-07,46435.89
1,2,2012-12-14,49590.35
1,2,2012-12-21,61282.78
1,2,2012-12-28,47733.11
1,2,2013-01-04,42208.62
1,2,2013-01-11,43805.68
1,2,2013-01-18,42365.19
1,2,2013-01-25,42237.7
1,2,2013-02-01,51815.22
1,2,2013-02-08,49950.76
1,2,2013-02-15,47582.3
1,2,2013-02-22,46949.41
1,2,2013-03-01,49967.38
1,2,2013-03-08,47002.81
1,2,2013-03-15,46136.38
1,2,2013-03-22,46275.81
1,2,2013-03-29,45388.7
1,2,2013-04-05,46821.7
1,2,2013-04-12,46277.51
1,2,2013-04-19,45565.68
1,2,2013-04-26,46108.59
1,2,2013-05-03,46619.49
1,2,2013-05-10,47025.7
1,2,2013-05-17,45078.11
1,2,2013-05-24,46166.16
1,2,2013-05-31,47503.51
1,2,2013-06-07,47995.76
1,2,2013-06-14,47263.92
1,2,2013-06-21,47790.68
1,2,2013-06-28,46645.0
1,2,2013-07-05,46652.57
1,2,2013-07-12,46315.54
1,2,2013-07-19,45356.03
1,2,2013-07-26,46597.46
1,3,2012-11-02,9437.95
1,3,2012-11-09,9703.81
1,3,2012-11-16,9589.49
1,3,2012-11-23,9729.08
1,3,2012-11-30,12003.41
1,3,2012-12-07,15634.3
1,3,2012-12-14,12623.24
1,3,2012-12-21,17004.08
1,3,2012-12-28,9096.54
1,3,2013-01-04,14123.19
1,3,2013-01-11,13668.11
1,3,2013-01-18,13198.51
1,3,2013-01-25,11259.0
1,3,2013-02-01,11959.16
1,3,2013-02-08,11746.97
1,3,2013-02-15,11714.84
1,3,2013-02-22,11391.76
1,3,2013-03-01,11831.38
1,3,2013-03-08,11286.62
1,3,2013-03-15,8895.19
1,3,2013-03-22,8500.22
1,3,2013-03-29,9548.3
1,3,2013-04-05,9338.84
1,3,2013-04-12,8859.0
1,3,2013-04-19,8607.0
1,3,2013-04-26,9000.95
1,3,2013-05-03,9569.81
1,3,2013-05-10,9494.03
1,3,2013-05-17,8766.62
1,3,2013-05-24,8251.62
1,3,2013-05-31,8266.97
1,3,2013-06-07,8021.84
1,3,2013-06-14,8088.92
1,3,2013-06-21,8108.57
1,3,2013-06-28,7665.54
1,3,2013-07-05,8109.11
1,3,2013-07-12,12749.11
1,3,2013-07-19,17649.14
1,3,2013-07-26,20620.95
1,4,2012-11-02,36515.97
1,4,2012-11-09,36264.92
1,4,2012-11-16,36384.19
1,4,2012-11-23,45268.7
1,4,2012-11-30,45420.14
1,4,2012-12-07,46054.46
1,4,2012-12-14,39328.16
1,4,2012-12-21,48118.24
1,4,2012-12-28,38914.57
1,4,2013-01-04,39157.49
1,4,2013-01-11,37563.59
1,4,2013-01-18,36009.11
1,4,2013-01-25,35018.73
1,4,2013-02-01,38616.76
1,4,2013-02-08,39077.62
1,4,2013-02-15,37702.65
1,4,2013-02-22,37376.16
1,4,2013-03-01,37816.54
1,4,2013-03-08,37930.14
1,4,2013-03-15,37857.05
1,4,2013-03-22,37326.14
1,4,2013-03-29,37677.38
1,4,2013-04-05,38266.81
1,4,2013-04-12,38005.43
1,4,2013-04-19,37071.84
1,4,2013-04-26,37069.27
1,4,2013-05-03,36827.19
1,4,2013-05-10,36723.14
1,4,2013-05-17,35568.65
1,4,2013-05-24,38982.27
1,4,2013-05-31,40293.89
1,4,2013-06-07,38459.84
1,4,2013-06-14,39214.97
1,4,2013-06-21,40864.03
1,4,2013-06-28,40128.22
1,4,2013-07-05,39964.51
1,4,2013-07-12,40443.89
1,4,2013-07-19,38019.22
1,4,2013-07-26,38111.78
1,5,2012-11-02,30453.46
1,5,2012-11-09,28591.49
1,5,2012-11-16,29772.76
1,5,2012-11-23,74195.59
1,5,2012-11-30,59408.32
1,5,2012-12-07,90751.27
1,5,2012-12-14,52872.38
1,5,2012-12-21,120720.65
1,5,2012-12-28,32667.43
1,5,2013-01-04,25374.54
1,5,2013-01-11,20680.14
1,5,2013-01-18,23650.78
1,5,2013-01-25,21265.68
1,5,2013-02-01,31592.19
1,5,2013-02-08,35191.95
1,5,2013-02-15,33398.54
1,5,2013-02-22,30092.11
1,5,2013-03-01,29758.59
1,5,2013-03-08,28134.3
1,5,2013-03-15,27098.08
1,5,2013-03-22,27632.41
1,5,2013-03-29,31266.32
1,5,2013-04-05,25972.54
1,5,2013-04-12,24058.57
1,5,2013-04-19,18367.11
1,5,2013-04-26,23956.27
1,5,2013-05-03,16613.57
1,5,2013-05-10,21524.59
1,5,2013-05-17,18049.24
1,5,2013-05-24,18225.97
1,5,2013-05-31,19767.7
1,5,2013-06-07,21496.54
1,5,2013-06-14,22105.35
1,5,2013-06-21,21178.22
1,5,2013-06-28,20771.22
1,5,2013-07-05,19527.81
1,5,2013-07-12,18875.84
1,5,2013-07-19,18479.57
1,5,2013-07-26,16338.11
1,6,2012-11-02,5183.27
1,6,2012-11-09,3846.97
1,6,2012-11-16,4211.43
1,6,2012-11-23,16873.41
1,6,2012-11-30,12046.03
1,6,2012-12-07,9670.43
1,6,2012-12-14,10320.03
1,6,2012-12-21,25280.76
1,6,2012-12-28,6967.73
1,6,2013-01-04,2859.41
1,6,2013-01-11,2824.76
1,6,2013-01-18,2609.95
1,6,2013-01-25,2218.08
1,6,2013-02-01,3912.24
1,6,2013-02-08,5935.59
1,6,2013-02-15,4354.35
1,6,2013-02-22,4259.73
1,6,2013-03-01,4418.7
1,6,2013-03-08,4355.05
1,6,2013-03-15,3960.46
1,6,2013-03-22,3723.0
1,6,2013-03-29,3978.62
1,6,2013-04-05,3664.59
1,6,2013-04-12,3818.68
1,6,2013-04-19,3323.03
1,6,2013-04-26,3531.7
1,6,2013-05-03,4415.46
1,6,2013-05-10,5026.16
1,6,2013-05-17,5223.35
1,6,2013-05-24,4981.95
1,6,2013-05-31,4836.81
1,6,2013-06-07,4076.27
1,6,2013-06-14,4137.27
1,6,2013-06-21,3735.49
1,6,2013-06-28,3957.08
1,6,2013-07-05,3545.16
1,6,2013-07-12,2979.73
1,6,2013-07-19,3433.3
1,6,2013-07-26,2878.38
1,7,2012-11-02,23104.41
1,7,2012-11-09,23349.76
1,7,2012-11-16,23141.43
1,7,2012-11-23,69127.59
1,7,2012-11-30,57169.43
1,7,2012-12-07,84609.68
1,7,2012-12-14,84756.57
1,7,2012-12-21,213165.59
1,7,2012-12-28,44176.84
1,7,2013-01-04,12994.35
1,7,2013-01-11,9890.11
1,7,2013-01-18,10539.19
1,7,2013-01-25,11156.57
1,7,2013-02-01,16800.27
1,7,2013-02-08,19256.78
1,7,2013-02-15,18099.78
1,7,2013-02-22,17350.41
1,7,2013-03-01,17872.95
1,7,2013-03-08,17706.03
1,7,2013-03-15,18714.0
1,7,2013-03-22,18205.89
1,7,2013-03-29,17822.11
1,7,2013-04-05,18546.3
1,7,2013-04-12,19406.24
1,7,2013-04-19,19724.38
1,7,2013-04-26,18237.95
1,7,2013-05-03,18938.62
1,7,2013-05-10,18642.68
1,7,2013-05-17,20017.35
1,7,2013-05-24,28682.08
1,7,2013-05-31,30023.57
1,7,2013-06-07,28286.89
1,7,2013-06-14,26592.59
1,7,2013-06-21,24918.41
1,7,2013-06-28,24904.59
1,7,2013-07-05,25066.19
1,7,2013-07-12,18037.11
1,7,2013-07-19,17184.14
1,7,2013-07-26,16682.05
1,8,2012-11-02,37917.43
1,8,2012-11-09,38364.59
1,8,2012-11-16,37863.65
1,8,2012-11-23,33666.08
1,8,2012-11-30,37231.54
1,8,2012-12-07,37121.84
1,8,2012-12-14,36954.41
1,8,2012-12-21,39656.86
1,8,2012-12-28,33153.51
1,8,2013-01-04,36140.92
1,8,2013-01-11,35273.49
1,8,2013-01-18,35342.19
1,8,2013-01-25,35334.49
1,8,2013-02-01,39075.84
1,8,2013-02-08,38951.62
1,8,2013-02-15,37444.05
1,8,2013-02-22,37441.89
1,8,2013-03-01,37940.97
1,8,2013-03-08,37179.68
1,8,2013-03-15,36480.59
1,8,2013-03-22,35624.97
1,8,2013-03-29,36197.11
1,8,2013-04-05,37019.08
1,8,2013-04-12,36839.97
1,8,2013-04-19,37711.97
1,8,2013-04-26,37043.7
1,8,2013-05-03,37375.41
1,8,2013-05-10,36949.7
1,8,2013-05-17,38019.19
1,8,2013-05-24,39426.32
1,8,2013-05-31,39808.27
1,8,2013-06-07,40306.41
1,8,2013-06-14,38598.78
1,8,2013-06-21,38622.76
1,8,2013-06-28,38187.43
1,8,2013-07-05,39214.22
1,8,2013-07-12,38333.78
1,8,2013-07-19,37663.0
1,8,2013-07-26,38252.22
1,9,2012-11-02,45672.78
1,9,2012-11-09,37783.16
1,9,2012-11-16,38967.43
1,9,2012-11-23,42106.59
1,9,2012-11-30,37649.3
1,9,2012-12-07,41698.05
1,9,2012-12-14,30784.03
1,9,2012-12-21,48419.24
1,9,2012-12-28,28901.65
1,9,2013-01-04,17232.59
1,9,2013-01-11,17153.76
1,9,2013-01-18,13720.78
1,9,2013-01-25,15457.95
1,9,2013-02-01,20318.16
1,9,2013-02-08,22373.57
1,9,2013-02-15,22207.19
1,9,2013-02-22,23487.92
1,9,2013-03-01,27160.38
1,9,2013-03-08,27538.89
1,9,2013-03-15,31985.19
1,9,2013-03-22,34255.73
1,9,2013-03-29,34201.0
1,9,2013-04-05,33177.27
1,9,2013-04-12,32079.32
1,9,2013-04-19,30536.97
1,9,2013-04-26,29694.16
1,9,2013-05-03,28466.78
1,9,2013-05-10,27308.62
1,9,2013-05-17,27166.81
1,9,2013-05-24,30284.35
1,9,2013-05-31,31707.3
1,9,2013-06-07,31192.97
1,9,2013-06-14,30260.62
1,9,2013-06-21,29976.41
1,9,2013-06-28,27368.57
